id,company,post_title,post_date,post_text,tipo,assunto,modelo,post_likes,post_comments,post_video_views,post_hashtags,origin
90,dextra-digital,,2020-07-03,"O ES2020 trouxe muitas novidades, não tanto quanto o ES6 trouxe, mas com certeza nos trouxe recursos úteis para o nosso dia a dia e é essencial conhecê-los para se manter atualizado no mercado. Conheça mais no texto do Mateus Marquezini no nosso blog:'",técnico,ES2020,artigo,50,0,0,,linkedin
91,dextra-digital,,2020-07-03,"É impossível negar que ‘transformação digital’ se tornou o grande conceito relativo à mudança. Não existe cartilha ou caminho único que sirva a todas as organizações. Nesse cenário, é imprescindível entender as estratégias e o funcionamento do negócio para atingir os melhores resultados. Conheça as várias maneiras de ser digital no texto do nosso CSO Luis Dosso no nosso blog:'",negócios,estratégia digital,artigo,43,0,0,,linkedin
92,dextra-digital,,2020-08-02,O nosso programa de estágio está no ar! Inscreva-se e venha se desenvolver com a gente! Clique no link:https://lnkd.in/dFsqua7',employer branding,programa estágio,post,115,9,0,,linkedin
93,dextra-digital,,2020-06-03,"Modelo de App cada vez mais popular no Oriente aposta em ofertas múltiplas de serviços em uma mesma aplicação, reduzindo número de instalações feitas pelos usuários em seus dispositivos, e começa a se tornar mais comum também no Brasil. Entenda mais sobre os Super Apps para sair na frente no mercado com o nosso texto no blog:'",negócios,super apps,artigo,32,0,0,,linkedin
94,dextra-digital,,2020-06-03,Dextra e CINQ estão caminhando juntas! Os clientes só tem o que ganhar com mais capacidade de execução e melhorias na agilidade e performance dos squads. Confira: #CINQagoraéDextra',crescimento,unificação CINQ,artigo,57,0,0,#CINQagoraéDextra',linkedin
95,dextra-digital,,2020-07-03,"O novo modelo de App que aposta em ofertas múltiplas de serviços em uma mesma aplicação, reduzindo o número de instalações feitas pelos usuários em seus dispositivos que está cada vez mais popular no Oriente, começa a se tornar mais comum também no Brasil. Saiba mais sobre os Super Apps com o nosso texto no blog:'",negócios,super apps,artigo,39,0,0,,linkedin
96,dextra-digital,,2020-07-03,"As mudanças nos negócios e no comportamento social provocadas pela Covid-19 são inegáveis. As alterações nas linhas de receita e as adaptações nas organizações de trabalho já são uma realidade. O que planejamos no início do ano deixou de fazer sentido. Diante disso, qual é o papel que o CIO e as áreas de tecnologia e inovação passam a ter depois da crise?Neste bate-papo participarão: Bill Coutinho - Diretor de Inovação da Dextra Digital, Wanderley Baccala - Diretor Hub Digital da Globo.com, Marcos Hamsi - IT Vice President da Martin Brower Brasil e Adriano Tchen - CTO da Alelo Brasil. Inscreva-se já:'",negócios,papel do CIO ,webinar,43,0,0,,linkedin
97,dextra-digital,,2020-06-03,"Mesmo em tempos de isolamento social, continuamos promovendo o compartilhamento de informação. Confira as lives que já rolaram na nossa Pagina de Eventos e fique ligado nas que estão por vir ;)  #dextrasemfronteiras'",branding,página de eventos,post,52,0,0,#dextrasemfronteiras',linkedin
98,dextra-digital,,2020-06-03,Hoje ouvimos falar o tempo todo o termo Growth em palestras ou na internet. Mas o que realmente significa essa abordagem para o desenvolvimento de um produto digital? Conheça as suas diversas atuações no mercado com o texto da Ana Cristine Veneziani no nosso blog:',negócios,growth,artigo,72,1,0,,linkedin
99,dextra-digital,,2020-06-03,Ir além da própria perspectiva e pensar em soluções para problemas complexos através da empatia. Os nossos designers Frederico Westphalen Mendes e Thiago Figueiredo Rocha participarão do Webinar Design Thinking: a Inovação Criativa e Colaborativa do Distrito. Inscreva-se:',técnico,Design Thinking,palestra,27,0,0,,linkedin
